#Port	TCP	UDP	SCTP	DCCP	Description
643	Yes				SANity
646	Yes				Label Distribution Protocol (LDP), a routing protocol used in MPLS networks
647	Yes				DHCP Failover protocol[97]
648	Yes				Registry Registrar Protocol (RRP)[98]
651	Yes				IEEE-MMS
653	Yes				SupportSoft Nexus Remote Command (data), a proxy gateway connecting remote control traffic
654	Yes				Media Management System (MMS) Media Management Protocol (MMP)[99]
655	Yes				Tinc VPN daemon
657	Yes				IBM RMC (Remote monitoring and Control) protocol, used by System p5 AIX Integrated Virtualization Manager (IVM)[100] and Hardware Management Console to connect managed logical partitions (LPAR) to enable dynamic partition reconfiguration
660	Yes	Assigned			macOS Server administration,[2] version 10.4 and earlier[11]
666	Yes				Doom, the first online first-person shooter
	Unofficial				airserv-ng,[101] aircrack-ng's server for remote-controlling wireless devices
674	Yes				Application Configuration Access Protocol (ACAP)
684	Yes				CORBA IIOP SSL[102]
688	Yes				REALM-RUSD (ApplianceWare Server Appliance Management Protocol)
690	Yes				Velneo Application Transfer Protocol (VATP)
691	Yes				MS Exchange Routing
694	Yes				Linux-HA high-availability heartbeat
695	Yes	Assigned			IEEE Media Management System over SSL (IEEE-MMS-SSL)[103]
698		Yes			Optimized Link State Routing (OLSR)
700	Yes				Extensible Provisioning Protocol (EPP), a protocol for communication between domain name registries and registrars (RFC 5734)
701	Yes				Link Management Protocol (LMP),[104] a protocol that runs between a pair of nodes and is used to manage traffic engineering (TE) links
702	Yes				IRIS[105][106] (Internet Registry Information Service) over BEEP (Blocks Extensible Exchange Protocol)[107] (RFC 3983)
706	Yes				Secure Internet Live Conferencing (SILC)
711	Yes				Cisco Tag Distribution Protocol[108][109][110]—being replaced by the MPLS Label Distribution Protocol[111]
712	Yes				Topology Broadcast based on Reverse-Path Forwarding routing protocol (TBRPF; RFC 3684)
749	Yes				Kerberos administration[11]
750		Yes			kerberos-iv, Kerberos version IV
751	Unofficial				kerberos_master, Kerberos authentication
752		Unofficial			passwd_server, Kerberos password (kpasswd) server
753	Yes				Reverse Routing Header (RRH)[112]
		Unofficial			userreg_server, Kerberos userreg server
754	Yes				tell send
	Unofficial				krb5_prop, Kerberos v5 slave propagation
760	Unofficial				krbupdate [kreg], Kerberos registration
777	Unofficial				machine socket eXtension [msx] protocol
782	Unofficial				Conserver serial-console management server
783	Unofficial				SpamAssassin spamd daemon
800	Yes				mdbs-daemon
802	Yes				MODBUS/TCP Security[113]
808	Unofficial				Microsoft Net.TCP Port Sharing Service
829	Yes	Assigned			Certificate Management Protocol[114]
830	Yes				NETCONF over SSH
831	Yes				NETCONF over BEEP
832	Yes				NETCONF for SOAP over HTTPS
833	Yes				NETCONF for SOAP over BEEP
843	Unofficial				Adobe Flash[115]
847	Yes				DHCP Failover protocol
848	Yes				Group Domain Of Interpretation (GDOI) protocol
853	Yes				DNS over TLS (RFC 7858)
		Yes			DNS over QUIC or DNS over DTLS[116]
860	Yes				iSCSI (RFC 3720)
861	Yes				OWAMP control (RFC 4656)
862	Yes				TWAMP control (RFC 5357)
873	Yes				rsync file synchronization protocol
888	Unofficial				cddbp, CD DataBase (CDDB) protocol (CDDBP)
	Unofficial				IBM Endpoint Manager Remote Control
897	Unofficial				Brocade SMI-S RPC
898	Unofficial				Brocade SMI-S RPC SSL
902	Unofficial				VMware ESXi[117][118]
903	Unofficial				VMware ESXi[117][118]
953	Yes	Reserved			BIND remote name daemon control (RNDC)[119][120]
981	Unofficial				Remote HTTPS management for firewall devices running embedded Check Point VPN-1 software[121]
987		Unofficial			Sony PlayStation Wake On Lan
	Unofficial				Microsoft Remote Web Workplace, a feature of Windows Small Business Server[122]
988	Unofficial				Lustre (file system)[123] Protocol (data).
989	Yes				FTPS Protocol (data), FTP over TLS/SSL
990	Yes				FTPS Protocol (control), FTP over TLS/SSL
991	Yes				Netnews Administration System (NAS)[124]
992	Yes				Telnet protocol over TLS/SSL
993	Yes	Assigned			Internet Message Access Protocol over TLS/SSL (IMAPS)[11]
994	Reserved				Previously assigned to Internet Relay Chat over TLS/SSL (IRCS), but was not used in common practice.
995	Yes				Post Office Protocol 3 over TLS/SSL (POP3S)[11]
1010	Unofficial				ThinLinc web-based administration interface[125]
					
